Registration Certificate Number,Project Name,Builder,Project Location,Project District,INTERNAL ROADS AND PAVEMENTS,WATER SUPPLY SYSTEM,STORM WATER DRAINAGE,ELECTRICITY SUPPLY SYSTEM,SEWAGE TREATMENT & GARBAGE DISPOSAL,STREET LIGHTING,SECURITY AND FIRE FIGHTING,PLAYGROUNDS AND PARKS,CLUB HOUSE/COMMUNITY CENTRE,SHOPPING AREA,RENEWABLE ENERGY SYSTEM,SCHOOL,HOSPITAL/DISPENSARY,ANY OTHER,Land area of the project,Projected date of completion,Percentage completion,FLOORING DETAILS OF VARIOUS PARTS OF HOUSE,KITCHEN DETAILS,DOORS AND WINDOS FRAMES,ELECTRIC FITTINGS,LIFT DETAILS,ELECTRICAL FITTINGS,INTERNAL FINISHING
GGM/358/90/2019/52 DATED 20.09.2019,ULTIMA PHASE-II,DLF LIMITED,"VILLAGE LAKHNOLA, SECTOR 81,
GURUGRAM, HARYANA",GURUGRAM,1227,31,51,205,102,256,1102,51,1707,0,10,686,0,0,11.343 (Acre),30-11-2020,67,IPS FLOORING/ IMPORTED MARBLE,WHITE WASH/ TILES UP-TO 2’ ABOVE COUNTER & ACRYLIC EMULSION PAINT IN BALANCE AREA,"MS ANGLE & PRESSED MS DOOR FRAMES, MS Z-SECTION WINDOW FRAME, FLUSH DOOR SHUTTERS",MODULAR FITTINGS,OTIS,MODULAR FITTINGS,NA
GGM/427/159/2020/43 DATED 20.11.2020,SIGNATURE GLOBAL PARK-III,SIGNATUREGLOBAL HOMES PRIVATE LIMITED,"1309 13TH FLOOR DR. GOPAL DAS
BHAWAN 28 BARAKHAMBA ROAD NEW DELHI 110001",GURUGRAM,200.20,188.16,83.53,0,118.23,24.29,0,15.27,0,0,0,0,0,167.13,10.55625 (Acre),Not available,Not available,NA,NA,NA,NA,NA,NA,NA
GGM/553/285/2022/28 DATED 25.04.2022,BIRLA NAVYA (DRISHA 1B),AVARNA PROJECTS LLP,SECTOR 63A GURUGRAM,GURUGRAM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2908.1 (Sqr/mtrs),Not available,Not available,MARBLE / STONE / TILES / ANTI-SKID TILES / LAMINATED / EQUIVALENT,TILES / PLASTIC PAINT / ACRYLIC EMULSION / EQUIVALENT,"WOODEN / EQUIVALENT DOOR FRAMES FOR MAIN/ INTERNAL DOORS, ANODISED / POWDER COATED FRAMES FOR EXTERNAL DOOR WINDOWS",LED FOR ONLY THE COMMON AREAS,1 LIFT / PLOT,ISI MARKED FOR ONLY THE COMMON AREAS,ACRYLIC PAINT
GGM/704/436/2023/48 DATED 29.03.2023,M3M GOLF HILLS PHASE 1,LOON LAND DEVELOPMENT LIMITED,SECTOR 79/ 79B,GURUGRAM,1046.04,250.00,125.00,1080.00,250.00,110.00,595.00,70.00,0.00,0.00,0.00,0.00,0.00,1186.19,20.0438 (Acre),Not available,Not available,VITRIFIED TILES/LAMINATEDWOODEN FLOOR/CERAMIC TILE,NA,EXTERNAL ALUMINIUM WITH GLASSINTERNAL – WOODEN,AS PER APPROVED MAKE,LIFTS AS PER BUILDING PLANS,AS PER APPROVED MAKE,NA
GGM/861/593/2024/88 DATED 16.08.2024,THE LEGACY PHASE-I,SILVERGLADES HOMES LLP,"VILLAGE BEHRAMPUR, SECTOR 63A
, GURGAON",GURUGRAM,805.00,258.75,230,373.75,287.50,195.50,230.00,161.00,2570.34,0,460.00,0,0,172.50,9.950 (Acre),Not available,Not available,"COMBINATION OF LAMINATED WOODEN FLOORING , NATURAL STONE &TILES;","ANTISLIP VITRIFIED TILES;ACRYLIC EMULSION PAINT, GRANITE STONE COUNTER, SINGLE LEVER CP FITTINGS & DOUBLE BOWL SS SINK WITH DRAIN BOARD,HOB AND CHIMNEY, MODULAR KITCHEN CABINETRY",HARDWOOD DOOR FRAME FOR INTERNAL DOORS,MODULAR SWITCHES,12-18 PERSONS APPROX. EACH LIFT CAPACITY,MODULAR SWITCHES,"ACRYLIC EMULSION PAINT ON POP PUNNING, ACRYLIC EMULSION PAINT"
232 OF 2017 DATED 19.09.2017,10 ACRES (AFFORDABLE GROUP HOUSING PROJECT),GLS INFRATECH PVT.LTD,"SECTOR-4, KHAIKA, GURUGRAM",GURUGRAM,165,226.2,18.25,250.50,167,45,175,52,450,0,15.50,0,0,359,10 (Acre),10-04-2020,70,TILES,TILES,"PAINTED HARDWOOD WITH FLUSH DOOR, POWDER COATED UPVC DOOR/WINDOWS FRAME","USE OF ISI MARK PRODUCT OF SWITCHES, SOCKETS AND WIRES.",AS PER NBCC CODE,NA,OIL BOUND DISTEMPER
57(A) OF 2017 DATED 17.8.2017,M3M MARINA/M3M SIERRA 68 ( GROUP HOUSING COLONY),HANS PROPCON PVT. LTD,"SECTOR-68, GURUGRAM",GURUGRAM,616.56,432.32,563.88,1085.48,0,98.28,575.9,84.6,426.14,13.35,18.77,0,0,15.53,13.2118 (Acre),31-01-2022,36,VITRIFIED TILE/LAMINATED /CERAMIC TILE,NA,N.A.,BRANDED,NA,BRANDED,PLASTER WITH PAINT
36(A) OF 2017 DATED 05.12.2017,GURGAON GREENS,EMAAR MGF LAND LTD.,"SECTOR -102, VILLAGE DHANKOT,
GURUGRAM",GURUGRAM,261.06,132.27,127.00,55.90,94.15,110.95,460.32,500.21,415.96,53.31,22.70,49.45,0,0,13.531 (Acre),31-12-2019,100,VITRIFIED TILES / LAMINATED WOODEN FLOORING,NA,SEASONED HARDWOOD FRAME / UPVC,MODULAR SWITCHES,PROVIDED,MODULAR SWITCHES,NA
178 OF 2017 DATED 01.09.2017,AFFORDABLE GROUP HOUSING COLONY,PIVOTAL INFRASTRUCTURE PVT LTD,"SECTOR 62, ULLAHAWAS, GURUGRA
M",GURUGRAM,179.63,226.41,45.83,400,89.56,7.78,100,3.54,39.76,387.587,40,0,0,0,5.06875 (Acre),27-07-2021,45,TILES,TILES,PAINTED HARDWOOD WITH FLUSH DOOR AND POWDER COATED/ANODIZED ALUMINIUM FRAME WINDOWS,"USE OF ISI MARKED PRODUCTS FOR WIRING, SWITCHES AND CIRCUITS",SCHINDLER MAKE,NA,OBD
285 OF 2017 DATED 10.10.2017,SOVEREIGN PARK,VATIKA SOVEREIGN PARK PVT. LTD.,"SECTOR 99, GURUGRAM",GURUGRAM,186.61,55.29,69.11,103.67,62.20,41.47,13.82,34.56,0,0,0,0,0,0,21717.00 (Sqr/mtrs),30-03-2021,36,REFER SECTION BELOW,REFER SECTION BELOW,REFER SECTION 14,"IS COMPLIANT MODULAR SWITCHES / SOCKETS, SWITCH GEAR AND DISTRIBUTION BOXES FROM STANDARD MAKES AND BRAND.",SPACIOUS ELEVATORS WITH PLEASING INTERIORS. HIGH SPEED ELEVATORS FOR HIGH RISE TOWERS.,"IS COMPLIANT MODULAR SWITCHES / SOCKETS, SWITCHGEAR AND DISTRIBUTION BOXES FROM STANDARD MAKES AND BRAND.",REFER SECTION BELOW
186 OF 2017 DATED 14.09.2017,GROUP HOUSING COLONY,GATEVIDA DEVELOPERS PRIVATE LIMITED,"SECTOR 112/113, VILLAGE BAJGH
ERA, GURUGRAM",GURUGRAM,124.88,116.92,43.84,71.63,80.24,12.35,0,4.52,44.70,0,0,0,0,129.64,4.038 (Acre),15-02-2019,100,"MARBLE, LAMINATED WOOD, ENGINEERED WOOD, TILES","VITRIFIED TILE FLOORING, 600MM HIGH TILE DADO ON WALLS, STAINLESS STEEL SINK, EXHAUST FAN","EXTERNAL WINDOWS/DOORS –ALUMINIUM , INTERNAL DOORS WOODEN PAINTED/POLISHED DOOR FRAMES",MODULAR SWITCHES,BRANDED LIFTS,MODULAR SWITCHES,PLASTICEMULSION/ OBD PAINT
346 OF 2017 DATED 08.11.2017,"ENIGMA, PHASE-1",VARALI PROPERTIES LTD.,"SECTOR-110, VILLAGE PAWALA KH
USRUPUR, GURUGRAM, HARYANA",GURUGRAM,168.45,254.53,72.44,0,124.54,21.96,0,25.70,0,0,0,0,0,217.09,8.7 (Acre),31-12-2020,90,"ITALIAN/ EUROPEAN MARBLE, TILES / MARBLE",WALLS COMBINATION OF LACQUERED GLASS AND IMPORTED TILES FLOOR IMPORTED TILES DOORS AND WINDOWS TIMBER VENEERED AND ALUMINIUM OTHERS HIGH END EUROPEAN MODULAR KITCHEN,TIMBER VENEERED AND ALUMINIUM,"SWITCHES, WIRE, PANELS, GENSET",OTIS 4 PASSEGNER + 1 SERVICE LIFT IN EACH TOWER,SWITCHES,ACRYLIC WALL PAINT
GGM/455/187/2021/23 DATED 15.06.2021,DLF GARDENCITY,DLF UTILITIES LIMITED,"DLF GARDENCITY, SECTOR 91/92",GURUGRAM,303.97,41.77,51.83,327.83,29.24,0,0,415.21,0,0,0,0,0,0,16.25 (Acre),Not available,Not available,NA,NA,NA,NA,NA,NA,NA
53 OF 2017 DATED 17.08.2017,GODREJ OASIS,OASIS LANDMARKS LLP,"SECTOR 88-A & 89-A, HARSARU,
GURUGRAM",GURUGRAM,207.89,173.36,134.07,1368.39,134.07,0,164.89,4.17,0,0,0,0,0,0,4.40 (Acre),30-09-2019,100,VITRIFIED TILES IN LIVING DINING,KITCHEN FLOORING CERAMIC TILES,"""1)MAIN DOOR FRAME TEA WOOD 2)INTERNAL DOOR FRAME RED MARANDI 3) EXTERNAL FRAMES OF ANODISED ALUMINIUM""",NA,STONE ARCHITRAVE AND ITALIAN MARBLE FLOORING IN CAR BODY AND GRANITE CLADDING,PHILLIPS LED LIGHTS IN COMMON AREA,NA
19 OF 2017 DATED 06.07.2017,CHANDAN TOWER(TOWER-D),RAHEJA DEVELOPERS LTD.,"RAHEJA VANYA SECTOR-99-A, GUR
UGRAM",GURUGRAM,321,453.71,81.35,0,50,14.37,30.41,0,0,0,0,0,0,0,4.68 (Acre),Not available,Not available,NA,NA,NA,NA,NA,NA,NA
57 OF 2017 DATED 17.8.2017,AMB SELFIE SQUARE ( COMMERCIAL PROJECT),VS REALPROJECTS PVT.LTD,"SECTOR-37D, HARSARU, GURUGRAM",GURUGRAM,200,500,700,975,200,200,300,0,0,0,100,0,0,0,3.775 (Acre),31-12-2021,0,VITREOUS TILES,ANTI SKID TILES,ALUMINIUM,HAVELLS,OTIS,HAVELLS OR EQUIVALENT,NA
GGM/575/307/2022/50 DATED 13.06.2022,SHREE VARDHMAN MANTRA(RESI.)/ SHOPPING MART,SHREE VARDHMAN BUILDPROP PVT LTD,"SECTOR-67,VILLAGE BADSHAPUR,G
URUGRAM",GURUGRAM,310.43,264.30,124.48,56.00,175.92,43.19,0,7.57,48.22,0,0,0,0,0,11.262 (Acre),31-12-2024,30,CERAMIC TILES/ MARBAL FLOORING,MARBLE COUNTER WITH 2 DADO,HARDWOOD/FLUSH DOORS,ISI MARKED,MARBELE FLOORING/ KOTA STONE,ISI MARKED,OBD
351 OF 2017 DATED 20.11.2017,ENIGMA,ATHENA INFRASTRUCTURE LTD.,"SECTOR-110, VILLAGE PAWALA KH
USRUPUR, GURUGRAM, HARYANA",GURUGRAM,185.88,106.19,70.79,444.13,135.69,11.39,147.49,1.76,0,0,5.69,0,0,0,80354.381 (Sqr/mtrs),31-08-2018,100,IMPORTED MARBLE / WOODEN FLOORING / ANTI SKID VITRIFIED TILES / ANTI SKID PREMIUM CERAMIC TILES / ANTI SKID TILES,GRANITE COUNTER TOP WITH BACK SPLASH IN GRANITE SS DOUBLE SINK AND IMPORTED CP FITTINGS.,GLAZED SLIDING SHUTTERS WITH UPVC / FRAMES WITH CLEAR / FROSTED GLASS,MODULAR SWITCHES.,PASSENGER AND SERVICE LIFTS,ISI APPROVED MAKES,AS SPECIFIED EARLIER
219 OF 2017 DATED 18.09.2017,2.9812 ACRES COMMERCIAL PROJECT,PLUS PROJECTS PVT. LTD,"SECTOR-62, GURUGRAM",GURUGRAM,48.26,130.36,21.37,200,20,3.75,150,0.86,0,0,0,0,0,0,0.92 (Acre),30-06-2019,100,"GRANITE IN OPEN COURTYARD , PASSAGE , CORRIDORS & STAIRS , VITRIFIED TILES FLOORING","MODULAR TYPE AND OZONE CHANNELS , FLOORING CERAMIC TILES",CHOKHAT FRAME & WINDOW SHUTTER OF SAG WAN AND POLISHABLE WOOD,"GEYSER , FAN",4 LIFT,"GEYSER , FAN",POP AND PAINT
GGM/386/118/2020/02 DATED 06.01.2020,SIGNATUREGLOBAL PROXIMA 2,SIGNATURE INFRABUILD PRIVATE LIMITED,"VILLAGE HAYATPUR, SECTOR 89 G
URUGRAM-MANESAR URBAN COMPLEX, HARYANA",GURUGRAM,107.17,136.98,66.41,0,164.78,14.52,0,13.57,0,0,0,0,0,161.14,4.73125 (Acre),Not available,Not available,VITRIFIED & CERAMIC TILES,ISI MARKED,"WOODEN(DOOR FRAME), ALUMINIUMN/UPVC(WINDOW FRAME)",ISI MARKED,ISI MARKED,ISI MARKED,NA
GGM/501/233/2021/69 DATED 25.10.2021,M3M SOULITUDE,AAWAM RESIDENCY PRIVATE LIMITED,"SECTOR-89, GURUGRAM MANESAR U
RBAN COMPLEX, GURUGRAM, HARYANA.",GURUGRAM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27292.28 (Sqr/mtrs),Not available,Not available,VITRIFIED TILE / LAMINATED WOODEN FLOORING / CERAMIC TILE,GRANITE COUNTER WITH SS SINK,HARDWOOD DOOR FRAME WITH LAMINATED FLUSH/WOODEN DOOR,AS PER APPROVED MAKE,4 TO 6 PASSENGER LIFTS AS PER NORMS,AS PER APPROVED MAKE,NA
GGM/831/563/2024/58 DATED 03.06.2024,SIGNATUREGLOBAL TITANIUM SPR,SIGNATUREGLOBAL (INDIA) LIMITED,"VILLAGE- FAZILPUR JHARSA, SEC
TOR-71, GURUGRAM, HARYANA",GURUGRAM,418.53,662.50,222.25,0,274.43,55.19,0,48.06,0,0,0,0,0,0,14.3825 (Acre),Not available,Not available,IMPORTED MARBLE,IMPORTED MARBLE,"HIGH LAMINATED SHUTTER, FLUSH DOOR SHUTTERS",AS/ SELECTION,"PASSENGER LIFT, SERVICE LIFT, PENTHOUSE INTERNAL LIFT, PRIVATE LIFT FOR EACH TOWER / WING",AS/SELECTION,NA
GGM/837/569/2024/64 DATED 14.06.2024,LUSHLANDS,ADANI INFRASTRUCTURE AND DEVELOPERS PRIVATE LIMITED,"VILLAGE GWAL PAHARI, SECTOR 0
2, GURUGRAM",GURUGRAM,354.25,59.94,110.89,167.67,60.23,41.68,11.55,154.26,1770.39,0,0,0,0,0,8.349 (Acre),30-06-2029,10,"MARBLE, LAMINATED FLOORING AND WOODEN FLOOR",MARBLE (GREY WILLIAN//EQ UIVALENT)CORIAN COUNTER MODULAR KITCHEN/ EQUIVALENT,DOORS - PANELED DOORS &SS; HARDWARE,ISI STANDARD,AS PER APPLICABLE NORMS,ISI STANDARDS,PAINT FINISH
GGM/457/189/2021/25 DATED 15.06.2021,INDEPENDENT FLOORS AT DLF GARDENCITY SECTOR 91/92,DLF PROJECTS LIMITED,"DLF GARDEN CITY, SECTOR 91 /
92,",GURUGRAM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.007 (Acre),Not available,Not available,IPS FLOORING / TILES / GRANITE,WHITE WASH / OBD,MS / AL,MODULAR FITTINGS,BRANDED MAKE,MODULAR FITTINGS,NA
GGM/844/576/2024/71 DATED 01.07.2024,M3M ANTALYA HILLS 3,LOON LAND DEVELOPMENT LIMITED,"SECTOR 79 & 79B, GURUGRAM",GURUGRAM,202.20,62.23,27.54,0,33.56,27.46,54.74,43.71,0,0,0,0,0,0,4.17 (Acre),Not available,Not available,VITRIFIED TILES/LAMINATE WOODEN FOR BEDROOM ; ANTISKID CERAMIC TILES FOR TOILET,"VITRIFIED TILES, PLASTER AND OBD",UPVC / ALUMINIUM POWDER COATED FOR EXTERNAL,AS PER APPROVED MAKE,4 TO 6 PASSENGER LIFTS AS PER NORMS,AS PER APPROVED MAKE,PLASTER AND OBD
GGM/622/354/2022/97 DATED 27.10.2022,SIGNATURE GLOBAL CITY 37D-(2),SIGNATUREGLOBAL DEVELOPERS PVT. LTD.,"VILLAGE GADULI KALAN, SECTOR-
37D, GURUGRAM",GURUGRAM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.16 (Acre),Not available,Not available,VITRIFIED & CERAMIC TILES,ODB,FRAME- RED MARANDI/HAR DWOOD SHUTTER-32M M FLUSH DOOR LAMINATED,NA,OTIS/FUGITE CH,NA,NA
GGM/797/529/2024/24 DATED 14.03.2024,ASHIANA AMARAH PHASE 3 & 3A,ASHIANA HOUSING LIMITED,"REVENUE ESTATE OF VILLAGE- WA
ZIRPUR, SECTOR 93, DISTT. GURUGRAM, HARYANA",GURUGRAM,507,164,112,211,141,31,104,8,0,0,11,0,0,0,4.5143 (Acre),Not available,Not available,"LIVING/DINING, ENTRANCE FOYER, CORRIDOR LEADING TO BEDROOMS: VITRIFIED TILES (600X600) OR (800X800) OR (600X1200) OR (800X1600), BEDROOMS AND STUDY ROOM: VITRIFIED TILES OR WOODEN TEXTURE TILE,(145 X 600) (600X600) OR (800X800) OR (600X1200),OPEN TERRACE: KOTA STONE/OTHER LOCAL STONE/CERAMIC TILES OF APPROPRIATE QUALITY/STONE MOSAIC FLOOR, STAIRCASE :CERAMIC TILES OR KOTA STONE OR COMBINATION LOCAL STONE OF APPROPRIATE SIZE.","1 STAINLESS STEEL SINK WITH ONE BOWL AND A DRAIN BOARD, 1 SWIVEL TYPE SINK MIXER, 2 CP ANGLE VALVE FOR IN AND OUT OF HOT WATER GEYSER, 1 CP ANGLE VALVE FOR WATER PURIFIER UNIT/RO, NO TAP IS PROVIDED BELOW SINK, PROVISION FOR PIPED LPG GAS WITH LPG METER WILL BE PROVIDED,KITCHEN CABINETS WITH HOB, CHIMNEY, DISHWASHER. GEYSER & EXHAUST FAN.",MAIN DOOR FRAME IN MS ARE EITHER ENAMEL PAINTED/POWDER COATED. AND OTHER MS DOOR FRAMES ARE ENAMEL PAINTED OR POWDER COATED .,"ALL ELECTRICAL WIRING IN CONCEALED CONDUITS WITH COPPER WIRES. CONVENIENT POSITION & DISTRIBUTION OF LIGHT AND POWER PLUGS AND PROVISION FOR ELECTRICAL CHIMNEY ABOVE PLATFORM AND WATER PURIFIER POINT IN KITCHEN. MODULAR ELECTRICAL SWITCHES WITH SOCKETS AND FAN REGULATORS OF SSK/ANCHOR/PANASONIC/NORTH WEST/LEGRAND OR EQUIVALENT,",NOT APPLICABLE.,ALL ELECTRICAL WIRING IN CONCEALED CONDUITS WITH COPPER WIRES. CONVENIENT POSITION & DISTRIBUTION OF LIGHT AND POWER PLUGS AND PROVISION FOR ELECTRICAL CHIMNEY ABOVE PLATFORM AND WATER PURIFIER POINT IN KITCHEN. MODULAR ELECTRICAL SWITCHES WITH SOCKETS AND FAN REGULATORS OF SSK/ANCHOR/PANASONIC/NORTH WEST/LEGRAND OR EQUIVALENT.,GRANITE AND/OR MARBLE AND/OR QUARTZ STONE AND /VITRIFIED TILES AND/OR CERAMIC TILES AND/OR CEMENT SAND PLASTER AND/OR OTHER LOCAL STONE AND/OR COMBINATION OF ANY TWO OR MORE ITEMS WITH EMULSION PAINT FINISH (WHEREVER APPLICABLE).
271 OF 2017 DATED 09.10.2017,VATIKA EXPRESS CITY,VATIKA LTD.,"SECTOR-88-A & B, VILLAGE HARS
ARU, GURUGRAM",GURUGRAM,239.02,79.67,97.38,132.79,79.67,61.97,26.56,44.26,0,0,0,0,0,0,9.548 (Acre),30-07-2020,58,REFER SECTION BELOW,REFER SECTION BELOW,ALUMINUM OR UPVC FRAME WINDOWS WITH CLEAR GLASS,"IS COMPLIANT MODULAR SWITCHES / SOCKETS, SWITCHGEAR AND DISTRIBUTION BOXES FROM REPUTED MAKES AND BRAND",ELEVATOR ACCESS FOR APARTMENTS FROM STILT LEVEL,REFER SECTION ABOVE,REFER SECTION BELOW
133 OF 2017 DATED 28.08.2017,KSHITIJ,RAMSONS ORGANICS LTD.,"SECTOR-95, GURUGRAM",GURUGRAM,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
38 OF 2017 DATED 10.08.2017,2.425 ACRES COMMERCIAL COLONY,OJOS DEVELOPERS PVT. LTD.,"SECTOR 70, GURUGRAM",GURUGRAM,0,133.70,17.92,0,60.02,9.31,0,0,0,0,0,0,0,0,9813.611 (Sqr/mtrs),31-12-2020,100,BARE SHELL,NA,NA,NA,NA,NA,BARE SHELL
287 OF 2017 DATED 10.10.2017,FLORENCE ESTATE,ANGLE INFRASTRUCTURE PVT. LTD.,"SECTOR 70, GURUGRAM",GURUGRAM,59.60,216.27,149.20,619.54,125.20,7.00,245.28,21.00,0.00,0.00,5.00,0.00,0.00,0.00,13.455 (Acre),31-10-2020,31.89,IMPORTED MARBLE & TILE RS. 150-200/- PER SQFT.,"MODULAR KITCHEN RS. 90,000/- PER FLAT",DOOR- FLUSH & SKIN MOUNTED RS. 750/- PER SQFT. WINDOW- UPVC UPVC D/W R. 450/- PER SQFT.,"MK & EQUIVALENT RS. 10,000- 12,000/- PER FLAT",KONE & EQUIVALENT RS. 40- 45 L PER LIFT,"MK & EQUIVALENT RS. 10,000- 12,0000/- PER FLAT",NA
GGM/341/73/2019/35 DATED 18.06.2019,M3M URBANA,M3M INDIA PVT. LTD. & MARTIAL BUILDCOM PVT. LTD.,"SECTOR-67, GURUGRAM",GURUGRAM,119.44,223.01,223.01,298,149,15,537,12,0,0,50,0,0,166,11405 (Sqr/mtrs),30-09-2021,58,CEMENT CONCRETE FLOORING,NA,ALUMINIUM AND GLASS,OF REPUTED BRAND,PROVIDED OF REPUTED BRAND,OF REPUTED BRAND,PLASTER AND WHITEWASH
249 OF 2017 DATED 26.09.2017,63 GOLF DRIVE,SUNRAYS HEIGHTS PVT. LTD.,"SECTOR 63-A, VILLAGE ULLAHWAS
, GURUGRAM",GURUGRAM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.9 (Acre),30-06-2020,0,NA,NA,NA,NA,NA,NA,NA
GGM/383/115/2019/77 DATED 31.12.2019,SIGNATUREGLOBAL PROXIMA 1,SIGNATUREGLOBAL (INDIA) PRIVATE LIMITED,"VILLAGE HAYATPUR, SECTOR 89 G
URUGRAM, HARYANA",GURUGRAM,124.74,156.02,56.81,0,165.13,15.35,0,14.65,0,0,0,0,0,182.28,5.00 (Acre),Not available,Not available,VITRIFIED & CERAMIC TILES,ISI MARKED,"WOODEN(DOOR FRAME), ALUMINIUMN/UPVC(WINDOW FRAME)",ISI MARKED,ISI MARKED,ISI MARKED,NA
157 OF 2017 DATED 28.08.2017,AIPL JOY STREET,ADVANCE INDIA PROJECTS LTD.,"SECTOR-66, VILLAGE MEDAWAS &
BADSHAHPUR, GURUGRAM",GURUGRAM,169.91,382.10,123.26,420.98,110.93,24.36,162.41,0,0,0,0,0,0,0,3.95 (Acre),30-06-2021,70,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,"9 PASSENGER LIFTS, 3 SERVICE LIFT",NOT APPLICABLE,CEMENT PLASTER
GGM/419/151/2020/35 DATED 16.10.2020,COBAN RESIDENCES,PAREENA INFRASTRUCTURES PVT. LTD.,"GARHI HARSARU ROAD VILLAGE GO
PALPUR, SECTOR 99A, GURUGRAM, HARYANA",GURUGRAM,80.31,98.88,51.84,0,19.92,16.25,115.43,20.95,119.49,0,0,0,0,0,10.5875 (Acre),30-06-2021,20,VITRIFIED TILES,"GRANITE COUNTER, CERAMIC TILES UPTO 2 FT ABOVE COUNTER AND REST OBD",PAINTED HARD WOOD DOOR FRAMES WITH FLUSH DOOR SHUTTERS.,NOT PROVIDING,PASSENGER & SERVICE LIFTS IN EACH TOWER,NOT PROVIDING,NA
178 OF 2017 DATED 01.09.2017,AFFORDABLE GROUP HOUSING COLONY,PIVOTAL INFRASTRUCTURE PVT LTD,"SECTOR 62, ULLAHAWAS, GURUGRA
M",GURUGRAM,179.63,226.41,45.83,400,89.56,7.78,100,3.54,39.76,387.587,40,0,0,0,5.06875 (Acre),27-07-2021,45,TILES,TILES,PAINTED HARDWOOD WITH FLUSH DOOR AND POWDER COATED/ANODIZED ALUMINIUM FRAME WINDOWS,"USE OF ISI MARKED PRODUCTS FOR WIRING, SWITCHES AND CIRCUITS",SCHINDLER MAKE,NA,OBD
38 OF 2017 DATED 10.08.2017,2.425 ACRES COMMERCIAL COLONY,OJOS DEVELOPERS PVT. LTD.,"SECTOR 70, GURUGRAM",GURUGRAM,0,133.70,17.92,0,60.02,9.31,0,0,0,0,0,0,0,0,9813.611 (Sqr/mtrs),31-12-2020,100,BARE SHELL,NA,NA,NA,NA,NA,BARE SHELL
GGM/434/166/2021/02 DATED 08.01.2021,JOYVILLE GURUGRAM PHASE VI,JOYVILLE SHAPOORJI HOUSING PRIVATE LIMITED,"KHERKI MAJRA, SECTOR 102, GUR
UGRAM",GURUGRAM,438,139,114,0,289,69,324,10,0,0,0,0,0,590,5.046 (Acre),Not available,Not available,CERAMIC/VITRIFIED/WOODEN LAMINATED FLOORING,GRANITE PLATFORM WITH SINK,HARD WOOD/ENGINEERED WOOD/ALUMINIUM/STONE,STANDARD SWITCHES AND SOCKETS,PASSENGER AND FIRE LIFTS,STANDARD SWITCHES AND SOCKETS,-
GGM/400/132/2020/16 DATED 22.06.2020,ZEPHYR AT THE WESTERLIES,EXPERION DEVELOPERS PVT LTD,"SECTOR 108, GURUGRAM",GURUGRAM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3633 (Acre),Not available,Not available,"VITRIFIEDTILES, LAMINATED WOODEN FLOOR, CERAMIC TILE, KOTA STONE .","CERAMIC TILES IN DADO 2’-0 HIGH , OBD PAINT.",EXTERNALDOORFRAMES-ALUMINIUM/ UPVC INTERNAL DOOR FRAMES- HARD WOOD FRAME.,MODULAR SWITCH AND SOCKETS.,SINGLE LIFT .,MODULAR SWITCH AND SOCKETS.,OBD PAINT
GGM/269/2018/01 DATED 11.04.2018 (SUPERSEDED BY GGM/554/286/2022/29 DATED 25.04.2022),AAROHAN COMMERCIAL TOWER,VIPUL LIMITED,"SECTOR-53, GURUGRAM",GURUGRAM,376.45,344.23,181.46,0,281.53,73.83,0,9.19,0,0,0,0,0,0,19.244 (Acre),30-06-2022,0,NA,NA,NA,NA,SPACIOUS FOUR ELEVATORS IN EACH TOWER EQUIPPED WITH AUTOMATIC RESCUE DEVICE (ARD) FOR ANY EMERGENCIES ACCESS CONTROL IN LIFTS SEPARATE SERVICE ELEVATOR FOR EACH TOWER FOUR EXPRESS ELEVATORS FOR INDEPENDENT ACCESS TO SKY HUB,NA,NA
GGM/592/324/2022/67 DATED 18.07.2022,PURI THE ARAVALLIS,PURI CONSTRUCTION PRIVATE LIMITED,"SECTOR 61, VILLAGE ULLAWAS",GURUGRAM,201.39,281.95,120.83,563.89,80.56,20,604.17,241.67,2500,26.15,32,34.54,0,0,10 (Acre),Not available,Not available,TILES / LAMINATED WOODEN FLOORING,"TILE ON FLOOR, WALL TILE FOR 2 FEET HEIGHT ABOVE COUNTER, OBD PAINT ABOVE THAT",HARDWOOD DOOR FRAME,ISI MARKED STANDARD FITTINGS,LIFTS WITH MS POWDER COATED / SS FINISH CABINS,ISI MARKED STANDARD FITTING,"TILES / LAMINATED WOODEN FLOORING, OBD PAINT ON WALLS , & OTHER DETAILS AS PER DRAWING"
