XID,Project Name,Location,Price Range,Price per Sqft,Project Status,Configurations,Unit Sizes,Builder,Total Number of Units,Project Size,Launch Date,Completion Date,Locality,Micro Market,USP,Builder URL,Builder Experience,Ongoing Projects,Past Projects,RERA Number,Specifications,Sports Amenities,Convenience Amenities,Safety Amenities,Environment Amenities,Leisure Amenities
r403017,Pacifica Aurum,"Padur, Chennai",Rs62.16 Lac - 2.17 Cr,N/A,Ready to Move,"2, 3, 4, 5 BHK",1147 Sq. Ft to 3812 Sq. Ft (Saleable),Pacifica,692 units,140 Acres,Ask for Details,30-Jun-18,Padur,Chennai South,,https://www.squareyards.com/pacifica-projects/626/builder,15 Years Experience,1,15,Delhi/Agent/0027/2017,Master Bedroom-Walls: Oil Bound Distemper; Master Bedroom-Flooring: Laminated Wooden; Other Bedrooms-Flooring: Vitrified Tiles; Living Area-Flooring: Vitrified Tiles; Structure: RCC Frame Structure,Gymnasium; Swimming Pool; Kids' Pool; Badminton Court(s); Tennis Court(s); Squash Court; Cricket; Kids' Play Areas / Sand Pits; Basketball; Volleyball; Yoga Areas; Table Tennis; Snooker/Pool/Billiards; Skating Rink,Power Backup; Restaurant; Treated Water Supply; Guest House; 24*7 Water Supply; Lift,24 x 7 Security; CCTV / Video Surveillance; Fire Fighting Systems; Intercom Facility,Rain Water Harvesting; Sewage Treatment Plant; Normal Park / Central Green; Large Green Area,Mini Theatre; Reading Room/Library; Party Hall; Cards Room; Clubhouse; Amphitheater; Indoor Games; Bowling; Conference Room; Spa
r6330,Kolte Ivy Estate,"Wagholi, Pune",Rs35.91 Lac - 1.06 Cr,N/A,Ready to Move,"1, 2, 3 BHK",377 Sq. Ft to 908 Sq. Ft (Carpet),Kolte Patil Developers Ltd,1467 units,75 Acres,Ask for Details,Ask for Details,Wagholi,Pune East,,https://www.squareyards.com/kolte-patil-developers-ltd-projects/457/builder,29 Years Experience,15,125,A51800000454,Master Bedroom-Walls: Oil Bound Distemper; Master Bedroom-Flooring: Vitrified Tiles; Other Bedrooms-Flooring: Vitrified Tiles; Walls: Oil Bound Distemper; Living Area-Flooring: Vitrified Tiles; Structure: RCC Frame Structure,Gymnasium; Swimming Pool; Badminton Court(s); Cricket; Kids' Play Areas / Sand Pits; Volleyball; Yoga Areas,Power Backup; 24*7 Water Supply; Lift,24 x 7 Security,Normal Park / Central Green,Indoor Games
r377300,Dosti Oro 67,"Kandivali West, Mumbai",Rs95.37 Lac - 1.49 Cr,"Rs22,374 Per Sq. Ft",Ready to Move,"1, 2 BHK",417 Sq. Ft to 652 Sq. Ft (Carpet),Dosti Group,352 units,0.83 Acres,Ask for Details,Ask for Details,Kandivali West,Mumbai Western Suburbs,,https://www.squareyards.com/dosti-group-projects/572/builder,39 Years Experience,4,70,A51800000454,"Master Bedroom-Walls: Acrylic Emulsion; Master Bedroom-Flooring: Vitrified Tiles; Other Bedrooms-Flooring: Vitrified Tiles; Walls: Acrylic Emulsion; Living Area-Flooring: Vitrified Tiles; Ceilings: False Ceiling; Fittings & Fixtures: Air Conditioner Fittings; Kitchen-Equipments: Modular Kitchen, Double Bowl Sink; Bathroom: Shower Panel, Premium Bath Fittings, Exhaust Fan; Structure: RCC Frame Structure",Gymnasium; Swimming Pool; Badminton Court(s); Kids' Play Areas / Sand Pits; Yoga Areas; Jogging / Cycle Track; Table Tennis; Snooker/Pool/Billiards,Power Backup; Solar Heaters; Treated Water Supply; Medical Facility; 24*7 Water Supply; Lift,24 x 7 Security; CCTV / Video Surveillance; Fire Fighting Systems; Intercom Facility; Video Phone,Rain Water Harvesting; Sewage Treatment Plant; Normal Park / Central Green,Party Hall; Clubhouse; Indoor Games
r60919,Sanidhya Flora,"New Ranip, Ahmedabad",Rs38.40 Lac - 65.00 Lac,N/A,Ready to Move,"1, 2 BHK",765 Sq. Ft to 1295 Sq. Ft (Saleable),Millennium,518 units,2.56 Acres,Ask for Details,Ask for Details,New Ranip,Ahmedabad North,,https://www.squareyards.com/millennium-projects/931/builder,N/A,1,3,CITY/AUDA/AA00022/220822R1,Master Bedroom-Walls: Oil Bound Distemper; Master Bedroom-Flooring: Vitrified Tiles; Other Bedrooms-Flooring: Vitrified Tiles; Walls: Oil Bound Distemper; Living Area-Flooring: Vitrified Tiles; Structure: RCC Frame Structure,Gymnasium; Kids' Play Areas / Sand Pits; Basketball; Yoga Areas; Jogging / Cycle Track,Power Backup; Treated Water Supply; 24*7 Water Supply; Lift,24 x 7 Security; CCTV / Video Surveillance; Fire Fighting Systems; Intercom Facility,Rain Water Harvesting; Normal Park / Central Green,Party Hall; Clubhouse; Indoor Games
r393379,Metricon The Gateway,"Vashi Sector 6, Navi Mumbai",Rs4.92 Cr,N/A,Under Construction,"1, 3 BHK",380 Sq. Ft to 1323 Sq. Ft (Carpet),Metricon Realty,448 units,1.86 Acres,Ask for Details,Ask for Details,Vashi Sector 6,Vashi,,https://www.squareyards.com/metricon-realty-projects/18204/builder,N/A,1,N/A,A51800000454,Master Bedroom-Walls: Oil Bound Distemper; Master Bedroom-Flooring: Vitrified Tiles; Other Bedrooms-Flooring: Vitrified Tiles; Walls: Oil Bound Distemper; Living Area-Flooring: Vitrified Tiles; Bathroom: Shower Panel; Structure: RCC Frame Structure,Gymnasium; Swimming Pool; Kids' Pool; Badminton Court(s); Football; Kids' Play Areas / Sand Pits; Basketball; Yoga Areas; Jogging / Cycle Track,Power Backup; Treated Water Supply; 24*7 Water Supply; Multi-level Parking; Lift,24 x 7 Security; CCTV / Video Surveillance; Fire Fighting Systems; Smart Card Access; Intercom Facility; Video Phone,Normal Park / Central Green,Mini Theatre; Reading Room/Library; Party Hall; Clubhouse; Indoor Games
r296407,Gaurav Heights,"Nalasopara West, Palghar",Rs37.82 Lac - 73.82 Lac,"Rs6,082 Per Sq. Ft",Under Construction,"1, 2, 3 BHK",393 Sq. Ft to 767 Sq. Ft (Carpet),Mahavir Developers,44 units,0.64 Acres,Ask for Details,Ask for Details,Ask for Details,Ask for Details,,https://www.squareyards.com/mahavir-developers-projects/19829/builder,N/A,2,1,N/A,Master Bedroom-Walls: Oil Bound Distemper; Master Bedroom-Flooring: Vitrified Tiles; Other Bedrooms-Flooring: Vitrified Tiles; Walls: Oil Bound Distemper; Living Area-Flooring: Vitrified Tiles; Structure: RCC Frame Structure,Kids' Play Areas / Sand Pits,Power Backup; Treated Water Supply; 24*7 Water Supply; Lift,24 x 7 Security; CCTV / Video Surveillance,Normal Park / Central Green,Indoor Games
r167105,Marvel Ideal Spacio Phase 1,"Undri, Pune",Rs29.43 Lac - 55.00 Lac,"Rs10,431 Per Sq. Ft",Ready to Move,"2, 3 BHK",535 Sq. Ft to 1000 Sq. Ft (Carpet),Marvel,409 units,13.02 Acres,Ask for Details,30-Nov-16,Undri,Pune South,,https://www.squareyards.com/marvel-projects/469/builder,18 Years Experience,1,72,A51800000454,"Master Bedroom-Flooring: Vitrified Tiles; Other Bedrooms-Flooring: Vitrified Tiles; Living Area-Flooring: Italian/Imported Marble; Fittings & Fixtures: Split Air Conditioner; Kitchen-Equipments: Modular Kitchen, Hob, Chimney",Gymnasium; Swimming Pool; Kids' Pool; Badminton Court(s); Tennis Court(s); Squash Court; Football; Cricket; Kids' Play Areas / Sand Pits; Basketball; Yoga Areas; Jogging / Cycle Track; Table Tennis,Power Backup; Attached Market; Solar Heaters; Home Automation; 24*7 Water Supply; Lift,24 x 7 Security; Smart Card Access; Video Phone,Rain Water Harvesting; Normal Park / Central Green,Party Hall; Clubhouse; Indoor Games; Spa
r29124,Kumar Samruddhi Society,"Vishrantwadi, Pune",Rs81.00 Lac - 1.11 Cr,N/A,Ready to Move,"2, 3 BHK",676 Sq. Ft to 930 Sq. Ft (Carpet),Kumar Properties,96 units,5 Acres,Ask for Details,15-Mar-02,Vishrantwadi,Pune East,,https://www.squareyards.com/kumar-properties-projects/9479/builder,N/A,11,132,A51800000454,Master Bedroom-Walls: Oil Bound Distemper; Master Bedroom-Flooring: Vitrified Tiles; Other Bedrooms-Flooring: Vitrified Tiles; Walls: Oil Bound Distemper; Living Area-Flooring: Vitrified Tiles; Ceilings: PoP Design / Punning; Fittings & Fixtures: Air Conditioner Fittings; Bathroom: Shower Panel; Structure: RCC Frame Structure,Badminton Court(s); Kids' Play Areas / Sand Pits; Yoga Areas; Jogging / Cycle Track,Power Backup; Treated Water Supply; 24*7 Water Supply; Lift; Party Lawn,24 x 7 Security; CCTV / Video Surveillance,Rain Water Harvesting; Normal Park / Central Green,Clubhouse; Indoor Games
r269,Kolte Patil Margosa Heights,"Mohammadwadi, Pune",Rs40.03 Lac - 1.08 Cr,"Rs8,313 Per Sq. Ft",Well Occupied,"2, 3 BHK",785 Sq. Ft to 2120 Sq. Ft (Saleable),Kolte Patil Developers Ltd,970 units,22.65 Acres,Ask for Details,15-Feb-13,Mohammadwadi,Pune South,"Strategically located in Mohammadwadi, Pune, near Saswad Road, Solapur Road, and Kondhwa Road.,Offering a range of amenities, including a state-of-the-art gymnasium.,Luxurious specifications, including oil bound distemper walls and vitrified tiles flooring.,Premium project by Kolte Patil Developers, offering high-quality living spaces.,Key amenities like power backup ensure a comfortable and uninterrupted living experience.",https://www.squareyards.com/kolte-patil-developers-ltd-projects/457/builder,29 Years Experience,15,125,A51800000454,Master Bedroom-Walls: Oil Bound Distemper; Master Bedroom-Flooring: Vitrified Tiles; Other Bedrooms-Flooring: Vitrified Tiles; Walls: Oil Bound Distemper; Living Area-Flooring: Vitrified Tiles; Structure: RCC Frame Structure,Gymnasium; Swimming Pool; Kids' Pool; Badminton Court(s); Tennis Court(s); Kids' Play Areas / Sand Pits; Basketball; Volleyball; Yoga Areas; Jogging / Cycle Track,Power Backup; Treated Water Supply; Medical Facility; Day Care Center; 24*7 Water Supply; Lift,24 x 7 Security; CCTV / Video Surveillance; Intercom Facility,Rain Water Harvesting; Sewage Treatment Plant; Normal Park / Central Green,Dance Room; Sauna; Party Hall; Clubhouse; Amphitheater
r298515,Cosmos Shivalik Homes,"UPSIDC Site C, Greater Noida",Rs46.38 Lac - 72.89 Lac,N/A,Ready to Move,"2, 3 BHK",1015 Sq. Ft to 1595 Sq. Ft (Saleable),Cosmos Infraestate,417 units,3 Acres,Ask for Details,18-Jan-16,UPSIDC Site C,Greater Noida West,,https://www.squareyards.com/cosmos-infraestate-projects/2212/builder,8 Years Experience,1,1,UPRERAAGT10119,Master Bedroom-Walls: Oil Bound Distemper; Master Bedroom-Flooring: Vitrified Tiles; Other Bedrooms-Flooring: Vitrified Tiles; Walls: Oil Bound Distemper; Living Area-Flooring: Vitrified Tiles; Structure: RCC Frame Structure,Gymnasium; Swimming Pool; Kids' Pool; Badminton Court(s); Cricket; Kids' Play Areas / Sand Pits; Basketball; Yoga Areas; Jogging / Cycle Track; Table Tennis; Snooker/Pool/Billiards,Power Backup; Attached Market; Treated Water Supply; Lift,24 x 7 Security; CCTV / Video Surveillance; Intercom Facility,Rain Water Harvesting; Sewage Treatment Plant; Normal Park / Central Green; Large Green Area,Party Hall; Clubhouse; Amphitheater; Indoor Games; Obeservatory Deck
r368059,Ambience Courtyard,"Manikonda, Hyderabad",Rs81.24 Lac - 1.36 Cr,"Rs8,749 Per Sq. Ft",Ready to Move,"2, 3 BHK",980 Sq. Ft to 1640 Sq. Ft (Saleable),Koncept Ambience Group Pvt Ltd,746 units,8 Acres,Ask for Details,Ask for Details,Manikonda,West Zone,,https://www.squareyards.com/koncept-ambience-group-pvt-ltd-projects/3690/builder,N/A,1,9,REA02400000010,Master Bedroom-Walls: Acrylic Emulsion; Master Bedroom-Flooring: Vitrified Tiles; Other Bedrooms-Flooring: Vitrified Tiles; Living Area-Flooring: Vitrified Tiles; Ceilings: False Ceiling,Gymnasium; Swimming Pool; Kids' Pool; Squash Court; Cricket; Kids' Play Areas / Sand Pits; Basketball; Yoga Areas; Jogging / Cycle Track; Skating Rink; Gazebo,Power Backup; Restaurant; 24*7 Water Supply; Lift; Party Lawn,24 x 7 Security; CCTV / Video Surveillance,Large Green Area,Cafe / Coffee Bar; Reading Room/Library; Clubhouse; Amphitheater; Indoor Games; Spa; Jacuzzi
r9386,Omkar Veda Exclusive,"Parel, Mumbai",Rs3.32 Cr - 5.06 Cr,"Rs29,916 Per Sq. Ft",Well Occupied,"2, 3 BHK",1309 Sq. Ft to 1995 Sq. Ft (Saleable),Omkar,270 units,2 Acres,Ask for Details,30-Dec-15,Parel,Mumbai South,,https://www.squareyards.com/omkar-projects/285/builder,16 Years Experience,1,24,A51800000454,Master Bedroom-Walls: Oil Bound Distemper; Master Bedroom-Flooring: Laminated Wooden; Other Bedrooms-Flooring: Laminated Wooden; Walls: Oil Bound Distemper; Living Area-Flooring: Italian/Imported Marble; Bathroom: Premium Bath Fittings; Structure: RCC Frame Structure,Gymnasium; Swimming Pool; Badminton Court(s); Kids' Play Areas / Sand Pits; Basketball; Yoga Areas; Jogging / Cycle Track; Table Tennis; Snooker/Pool/Billiards,Power Backup; 24*7 Water Supply; Lift,24 x 7 Security; Intercom Facility; Video Phone,Rain Water Harvesting; Normal Park / Central Green,Sauna; Party Hall; Clubhouse; Indoor Games
r333137,Godrej Palm Retreat,"Sector 150, Noida",Rs1.69 Cr - 4.29 Cr,N/A,Ready to Move,"2, 3, 4 BHK",1300 Sq. Ft to 3300 Sq. Ft (Saleable),Godrej,430 units,14.35 Acres,Ask for Details,12-Jun-19,Sector 150,Noida Expressway,,https://www.squareyards.com/godrej-projects/49/builder,29 Years Experience,61,150,UPRERAAGT10119,"Master Bedroom-Walls: Acrylic Emulsion; Master Bedroom-Flooring: Vitrified Tiles; Other Bedrooms-Flooring: Vitrified Tiles; Walls: Acrylic Emulsion; Living Area-Flooring: Vitrified Tiles; Bathroom: Shower Panel, Premium Bath Fittings; Structure: RCC Frame Structure",Gymnasium; Swimming Pool; Kids' Pool; Badminton Court(s); Tennis Court(s); Squash Court; Cricket; Kids' Play Areas / Sand Pits; Basketball; Yoga Areas; Jogging / Cycle Track; Table Tennis; Snooker/Pool/Billiards; Golf Course,Power Backup; Restaurant; Treated Water Supply; 24*7 Water Supply; Lift,24 x 7 Security; CCTV / Video Surveillance; Fire Fighting Systems; Intercom Facility; Video Phone,Rain Water Harvesting; Sewage Treatment Plant; Large Green Area,Mini Theatre; Reading Room/Library; Sauna; Party Hall; Cards Room; Amphitheater; Indoor Games; Spa; Luxurious Clubhouse; Jacuzzi; Multi Brand Retail; High Street Retail
r28990,Unitech Horizon,"GN Sector Pi, Greater Noida",Rs97.30 Lac - 97.99 Lac,"Rs5,747 Per Sq. Ft",Ready to Move,3 BHK,1693 Sq. Ft to 1705 Sq. Ft (Saleable),Unitech,1254 units,25 Acres,Ask for Details,30-Dec-13,GN Sector Pi,Greater Noida West,,https://www.squareyards.com/unitech-projects/120/builder,48 Years Experience,9,132,UPRERAAGT10119,Master Bedroom-Walls: Acrylic Emulsion; Master Bedroom-Flooring: Laminated Wooden; Other Bedrooms-Flooring: Vitrified Tiles; Walls: Acrylic Emulsion; Living Area-Flooring: Laminated Wooden; Structure: RCC Frame Structure,Gymnasium; Swimming Pool; Badminton Court(s); Tennis Court(s); Kids' Play Areas / Sand Pits; Jogging / Cycle Track; Table Tennis; Snooker/Pool/Billiards,Power Backup; 24*7 Water Supply; Lift,24 x 7 Security; CCTV / Video Surveillance; Fire Fighting Systems,Large Green Area,Party Hall; Clubhouse; Indoor Games
r99240,Signature Global Synera,"Sector 81, Gurgaon",Rs27.38 Lac - 55.13 Lac,N/A,Ready to Move,"1, 2 BHK",365 Sq. Ft to 735 Sq. Ft (Saleable),Signature Global,820 units,5 Acres,Ask for Details,Ask for Details,Sector 81,New Gurgaon,"Prime location in Sector 81, Gurgaon, near NH 8.,Strategically connected to Dwarka Expressway and NH 8.,RERA approved project with reference number 10 OF 2017 DATED 30.06.2017.,Enjoy world-class amenities like gymnasium and power backup.,Spacious apartments with high-quality specifications, perfect for luxury living.",https://www.squareyards.com/signature-global-projects/3175/builder,19 Years Experience,10,43,660/2017/307,Master Bedroom-Walls: Oil Bound Distemper; Master Bedroom-Flooring: Vitrified Tiles; Other Bedrooms-Flooring: Vitrified Tiles; Walls: Oil Bound Distemper; Living Area-Flooring: Vitrified Tiles; Structure: RCC Frame Structure,Gymnasium; Badminton Court(s); Kids' Play Areas / Sand Pits; Yoga Areas; Jogging / Cycle Track,Power Backup; Treated Water Supply; 24*7 Water Supply; Lift,24 x 7 Security; CCTV / Video Surveillance; Fire Fighting Systems; Intercom Facility,Rain Water Harvesting; Sewage Treatment Plant; Large Green Area,Party Hall; Clubhouse; Indoor Games
r28034,Marvel Citrine,"Kharadi, Pune",Rs92.87 Lac - 1.43 Cr,N/A,Well Occupied,"2, 3 BHK",1255 Sq. Ft to 2046 Sq. Ft (Saleable),Marvel,6 units,0.62 Acres,Ask for Details,30-Dec-15,Kharadi,Pune East,"Strategically located in Kharadi near Mundhwa Road and Nagar Road.,Eligible under Pune ' s RERA registration number P52100007908.,Spacious apartments with acrylic emulsion painted walls.,Power backup facility for constant supply of electricity.,Gymnasium for a fit and active lifestyle within the complex.",https://www.squareyards.com/marvel-projects/469/builder,18 Years Experience,1,72,A51800000454,Master Bedroom-Walls: Acrylic Emulsion; Master Bedroom-Flooring: Vitrified Tiles; Other Bedrooms-Flooring: Vitrified Tiles; Walls: Acrylic Emulsion; Living Area-Flooring: Vitrified Tiles; Ceilings: PoP Design / Punning,Gymnasium; Swimming Pool; Badminton Court(s); Tennis Court(s); Kids' Play Areas / Sand Pits; Basketball; Yoga Areas; Jogging / Cycle Track; Table Tennis; Snooker/Pool/Billiards,Power Backup; Attached Market; Solar Heaters; Treated Water Supply; 24*7 Water Supply; Lift,24 x 7 Security; CCTV / Video Surveillance; Fire Fighting Systems,Rain Water Harvesting; Sewage Treatment Plant; Large Green Area,Sauna; Party Hall; Cards Room; Clubhouse; Indoor Games; Spa; Jacuzzi
r8044,Vijay Khetan Krishna Residences,"Andheri East, Mumbai",Rs2.32 Cr - 3.15 Cr,N/A,Under Construction,"2, 3 BHK",795 Sq. Ft to 1086 Sq. Ft (Carpet),VKG GROUPS,157 units,1.93 Acres,Ask for Details,Ask for Details,Andheri East,Mumbai Western Suburbs,,https://www.squareyards.com/vkg-groups-projects/6591/builder,N/A,5,3,A51800000454,Master Bedroom-Walls: Acrylic Emulsion; Master Bedroom-Flooring: Laminated Wooden; Other Bedrooms-Flooring: Vitrified Tiles; Walls: Acrylic Emulsion; Living Area-Flooring: Vitrified Tiles; Kitchen-Equipments: Modular Kitchen; Bathroom: Premium Bath Fittings; Structure: RCC Frame Structure,Gymnasium; Swimming Pool; Badminton Court(s); Kids' Play Areas / Sand Pits; Yoga Areas; Jogging / Cycle Track; Table Tennis; Rappelling/Rock Climbing; Gazebo,Power Backup; Restaurant; PNG; Treated Water Supply; High Speed Elevators; Laundromat; 24*7 Water Supply; Lift; Party Lawn,24 x 7 Security; CCTV / Video Surveillance; Fire Fighting Systems; Intercom Facility; Video Phone,Rain Water Harvesting; Sewage Treatment Plant; Large Green Area,Sauna; Party Hall; Clubhouse; Indoor Games; Spa; Senior Citizen Area
r305278,Godrej Elements,"Hinjewadi, Pune",Rs86.00 Lac - 1.70 Cr,"Rs13,573 Per Sq. Ft",Ready to Move,"2, 3 BHK",564 Sq. Ft to 1117 Sq. Ft (Carpet),Godrej,575 units,6.71 Acres,Ask for Details,30-Dec-21,Hinjewadi,Pune West,,https://www.squareyards.com/godrej-projects/49/builder,29 Years Experience,61,150,A51800000454,Master Bedroom-Walls: Acrylic Emulsion; Master Bedroom-Flooring: Vitrified Tiles; Other Bedrooms-Flooring: Vitrified Tiles; Walls: Acrylic Emulsion; Living Area-Flooring: Vitrified Tiles; Kitchen-Equipments: Modular Kitchen; Bathroom: Premium Bath Fittings; Structure: RCC Frame Structure,Gymnasium; Swimming Pool; Badminton Court(s); Tennis Court(s); Cricket; Kids' Play Areas / Sand Pits; Basketball; Volleyball; Yoga Areas; Jogging / Cycle Track; Table Tennis; Snooker/Pool/Billiards,Power Backup; Solar Heaters; Home Automation; 24*7 Water Supply; Automatic Boom Barriers; ATM's; Lift; Party Lawn,24 x 7 Security; CCTV / Video Surveillance; Fire Fighting Systems; Smart Card Access; Intercom Facility; Video Phone,Rain Water Harvesting; Sewage Treatment Plant; Large Green Area,Reading Room/Library; Sauna; Party Hall; Clubhouse; Amphitheater; Indoor Games; Spa; Senior Citizen Area
